4710144, 4597605, 4810726, 4735490, 4744106, 4730053, 4757451, 4889342, 4714887, 4735976, 4739768, 4754532, 4584139, 4739067, 4744289, 4774351, 4725189, 4774504, 4841027, 4786166, 4699475, 4725109, 4648354, 4771264, 4718527, 4670180, 4722255, 4596899, 4848493, 4711511, 
19043361, 18673092, 18999158, 18764369, 19028458, 18382671, 19153376, 18907456, 19062739, 19017639, 18971601, 19128075, 18899496, 18862836, 19267132, 19171242, 19126199, 18964762, 18439718, 18783181, 18885053, 18835761, 18903492, 18923388, 19213754, 18936204, 18831488, 19115067, 18724628, 19004637, 
41864252, 43046032, 42404817, 43452353, 43093497, 43164634, 42366305, 42942577, 42791716, 43051857, 42588314, 42965023, 42354868, 41883451, 43094263, 42485936, 42293180, 42867912, 42828497, 43104452, 43416772, 42299391, 42968556, 42521742, 42985160, 43212057, 42749637, 43097158, 42734681, 43141978, 
76577515, 75772703, 75586953, 76392499, 75388448, 74858194, 75828491, 75450435, 75066318, 75409376, 76302815, 74770942, 76465164, 75425631, 75621677, 75659647, 75901708, 76292922, 76301626, 75601026, 76102988, 74574933, 74752519, 75387256, 76387750, 76159822, 75424648, 75665426, 75891256, 75874193, 
117920747, 118543603, 119265902, 117548033, 117862090, 119485796, 118088036, 118328266, 117736927, 116806592, 118217401, 116935699, 118584665, 118232391, 119463370, 118506129, 116992723, 118561879, 117918243, 117402878, 118737318, 117852423, 118703174, 118976829, 117553149, 118673945, 117425327, 117994939, 118339416, 118757722, 
171564271, 172153459, 172059520, 171269383, 171393151, 168652992, 170269977, 171490521, 171553328, 170126445, 171142877, 170304523, 171097462, 170070419, 170431350, 169607365, 170723571, 171273930, 170050220, 170932733, 172573684, 167978208, 168858347, 171232083, 170710966, 169371605, 173017410, 168550349, 171973459, 169268282, 
232690346, 233806431, 232635568, 231313861, 230758739, 232753598, 232547767, 231218235, 233590893, 232590726, 230764985, 235006011, 232681960, 232963910, 233320960, 233358732, 233497157, 235936547, 230422234, 230864271, 231743803, 233441556, 230749732, 231933250, 231241229, 232602353, 231129736, 232583108, 231522219, 233664789, 
301175982, 302292234, 301631392, 301457713, 298347474, 303018115, 301370482, 305016012, 300852914, 302299805, 298029576, 302632498, 301657648, 302788900, 300666802, 300391444, 303295264, 298668693, 303129044, 302643636, 300876057, 302765517, 303188591, 302003218, 303494445, 303957159, 302035550, 300677907, 301679988, 303716131, 
379861093, 375430238, 378911392, 379927790, 381979131, 379121677, 375908999, 378588962, 379168582, 378929779, 383235877, 380861219, 379677679, 381414198, 380444721, 381469102, 381021240, 377853267, 375257173, 376529643, 380273793, 379566854, 375689284, 375969117, 378128132, 381236541, 375294636, 377533550, 377200262, 380489470, 
465348614, 466194644, 463193491, 463556656, 462071438, 465035274, 462273763, 464370742, 466001004, 466273111, 466646857, 465386471, 465125192, 464649647, 466827908, 469288946, 461113998, 463352346, 459199110, 467648030, 465703428, 466370882, 466207765, 463203363, 463674387, 464468633, 464245085, 465946091, 466002999, 468280320, 
